region	n	trait	results	abbreviation	category	color
region_chr11_30119810_32255355	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_33937192_35481057	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	smultixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr11_42288453_44672249	2	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_42288453_44672249	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	smultixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr11_44672249_46984586	4	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_44672249_46984586	6	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_44672249_46984586	6	pgc.scz2	smultixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr11_46984586_49844498	17	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr11_46984586_49844498	12	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr11_46984586_49844498	19	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_46984586_49844498	1	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	smultixcan_eqtl	DVT_UKBS	Cardiometabolic	#004000
region_chr11_46984586_49844498	17	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_46984586_49844498	18	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_55315181_58690022	5	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_55315181_58690022	6	UKB_20127_Neuroticism_score	smultixcan_eqtl	NEUROT_UKB	Psychiatric-neurologic	#0000A0
region_chr11_55315181_58690022	9	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_59013076_62456299	5	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr11_59013076_62456299	6	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr11_59013076_62456299	4	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr11_59013076_62456299	6	Astle_et_al_2016_Sum_basophil_neutrophil_counts	smultixcan_eqtl	BNC	Blood	#C00000
region_chr11_59013076_62456299	2	MAGIC_FastingGlucose	smultixcan_eqtl	FG	Cardiometabolic	#004000
region_chr11_59013076_62456299	3	MAGNETIC_HDL.C	smultixcan_eqtl	HDLC	Cardiometabolic	#004000
region_chr11_59013076_62456299	4	UKB_20002_1111_self_reported_asthma	smultixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr11_59013076_62456299	3	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr11_62456299_64037097	13	MAGNETIC_CH2.DB.ratio	smultixcan_eqtl	CH2	Cardiometabolic	#004000
region_chr11_64037097_66131160	33	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr11_64037097_66131160	30	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr11_64037097_66131160	32	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr11_64037097_66131160	7	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_64037097_66131160	3	UKB_20002_1452_self_reported_eczema_or_dermatitis	smultixcan_eqtl	ECZ_UKBS	Allergy	#FFFF00
region_chr11_64037097_66131160	7	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr11_64037097_66131160	12	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr11_66131160_68238358	26	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_66131160_68238358	17	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_68238358_69701362	2	BCAC_ER_negative_BreastCancer_EUR	smultixcan_eqtl	ERNBC	Cancer	#A0A0A0
region_chr11_68238358_69701362	2	BCAC_Overall_BreastCancer_EUR	smultixcan_eqtl	BC	Cancer	#A0A0A0
region_chr11_68238358_69701362	9	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_68238358_69701362	14	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_69701362_71215246	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_70855_1192365	5	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr11_70855_1192365	14	Astle_et_al_2016_Granulocyte_count	smultixcan_eqtl	GC	Blood	#C00000
region_chr11_70855_1192365	1	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr11_70855_1192365	14	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr11_70855_1192365	5	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr11_70855_1192365	4	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_70855_1192365	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_72574973_74701306	6	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_74701306_77086163	5	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr11_74701306_77086163	7	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr11_74701306_77086163	10	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_74701306_77086163	7	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr11_74701306_77086163	8	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr11_77086163_78644013	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_8311727_9065770	3	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr11_8311727_9065770	5	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr11_8311727_9065770	5	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr11_8311727_9065770	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr11_8311727_9065770	1	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_84670229_86908259	4	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_9065770_10930480	3	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr11_9065770_10930480	1	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr11_9065770_10930480	4	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr11_94509094_95992877	1	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr12_101468912_102571208	3	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_101468912_102571208	7	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_102571208_104454918	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_102571208_104454918	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr12_106564970_108632125	5	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr12_106564970_108632125	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_108632125_109898914	8	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr12_109898914_112825713	9	Astle_et_al_2016_Granulocyte_count	smultixcan_eqtl	GC	Blood	#C00000
region_chr12_109898914_112825713	23	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr12_109898914_112825713	12	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr12_109898914_112825713	4	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr12_109898914_112825713	20	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr12_109898914_112825713	4	Astle_et_al_2016_Sum_basophil_neutrophil_counts	smultixcan_eqtl	BNC	Blood	#C00000
region_chr12_109898914_112825713	8	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	smultixcan_eqtl	NEC	Blood	#C00000
region_chr12_109898914_112825713	17	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr12_109898914_112825713	21	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	smultixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_109898914_112825713	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_109898914_112825713	2	pgc.scz2	smultixcan_eqtl	SCZ	Psychiatric-neurologic	#0000A0
region_chr12_112825713_113548904	3	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr12_112825713_113548904	2	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr12_11601912_12580594	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_119316305_121569746	2	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr12_119316305_121569746	24	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr12_119316305_121569746	5	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_119316305_121569746	4	UKB_20002_1473_self_reported_high_cholesterol	smultixcan_eqtl	HC_UKBS	Cardiometabolic	#004000
region_chr12_119316305_121569746	8	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr12_121569746_124493434	3	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr12_121569746_124493434	28	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_121569746_124493434	15	SSGAC_Education_Years_Pooled	smultixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr12_121569746_124493434	37	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr12_12580594_15088550	2	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr12_12580594_15088550	1	SSGAC_Education_Years_Pooled	smultixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr12_12580594_15088550	13	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_17934939_20711009	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_2435620_3567871	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_27646840_29498322	2	BCAC_Overall_BreastCancer_EUR	smultixcan_eqtl	BC	Cancer	#A0A0A0
region_chr12_27646840_29498322	6	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_30359473_32012658	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_3567871_4308513	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_37462915_38833367	2	UKB_1180_Morning_or_evening_person_chronotype	smultixcan_eqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr12_38833367_40422383	1	IBD.EUR.Crohns_Disease	smultixcan_eqtl	CD	Immune	#40A0A0
region_chr12_44631_971165	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_45630446_47321010	4	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_45630446_47321010	6	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_47321010_48608083	5	UKB_20002_1065_self_reported_hypertension	smultixcan_eqtl	HPT_UKBS	Cardiometabolic	#004000
region_chr12_47321010_48608083	11	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_48608083_51382710	7	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr12_51382710_52645220	1	UKB_2395_4_Hair_or_balding_pattern_Pattern_4	smultixcan_eqtl	BLDP4_UKB	Hair morphology	#808000
region_chr12_52645220_54385039	1	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr12_55272053_57155077	10	Astle_et_al_2016_Eosinophil_counts	smultixcan_eqtl	EC	Blood	#C00000
region_chr12_55272053_57155077	11	Astle_et_al_2016_Sum_eosinophil_basophil_counts	smultixcan_eqtl	EBC	Blood	#C00000
region_chr12_55272053_57155077	12	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_55272053_57155077	3	RA_OKADA_TRANS_ETHNIC	smultixcan_eqtl	RA	Immune	#40A0A0
region_chr12_55272053_57155077	4	SSGAC_Education_Years_Pooled	smultixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr12_55272053_57155077	11	UKB_20002_1111_self_reported_asthma	smultixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr12_55272053_57155077	6	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	smultixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr12_55272053_57155077	3	UKB_20002_1265_self_reported_migraine	smultixcan_eqtl	MIGR_UKBS	Psychiatric-neurologic	#0000A0
region_chr12_55272053_57155077	6	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr12_55272053_57155077	20	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_55272053_57155077	11	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr12_57155077_58914885	9	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr12_57155077_58914885	19	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_6310587_8224940	8	Astle_et_al_2016_Lymphocyte_counts	smultixcan_eqtl	LC	Blood	#C00000
region_chr12_6310587_8224940	6	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr12_6310587_8224940	10	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr12_63638681_65165915	4	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr12_63638681_65165915	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_67515949_69432762	2	Astle_et_al_2016_Sum_basophil_neutrophil_counts	smultixcan_eqtl	BNC	Blood	#C00000
region_chr12_67515949_69432762	2	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	smultixcan_eqtl	NEC	Blood	#C00000
region_chr12_67515949_69432762	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_69432762_70564207	1	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr12_69432762_70564207	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr12_69432762_70564207	4	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_70564207_72251295	2	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr12_8224940_8878799	2	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr12_85596648_89288345	1	Astle_et_al_2016_Red_blood_cell_count	smultixcan_eqtl	RBC	Blood	#C00000
region_chr12_8878799_10328935	4	Astle_et_al_2016_White_blood_cell_count	smultixcan_eqtl	WBC	Blood	#C00000
region_chr12_89288345_91672378	2	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr12_89288345_91672378	1	UKB_1180_Morning_or_evening_person_chronotype	smultixcan_eqtl	CHRONO_UKB	Psychiatric-neurologic	#0000A0
region_chr12_89288345_91672378	5	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr12_91672378_94120791	3	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_94120791_95627009	1	UKB_6152_8_diagnosed_by_doctor_Asthma	smultixcan_eqtl	ATH_UKB	Immune	#40A0A0
region_chr12_95627009_96715061	1	BCAC_Overall_BreastCancer_EUR	smultixcan_eqtl	BC	Cancer	#A0A0A0
region_chr12_95627009_96715061	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr12_971165_2435620	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_107537529_108468862	1	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr13_108468862_109162764	1	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr13_110579726_111595245	2	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr13_112918174_114344378	2	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr13_112918174_114344378	3	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr13_18445873_20112581	3	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr13_23957798_25210224	1	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	smultixcan_eqtl	HYPOTHY_UKBS	Endocrine system	#FF8000
region_chr13_26710225_28683414	8	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr13_26710225_28683414	1	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr13_26710225_28683414	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	smultixcan_eqtl	NEC	Blood	#C00000
region_chr13_26710225_28683414	1	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr13_31727678_33202766	4	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr13_31727678_33202766	3	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr13_31727678_33202766	1	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr13_31727678_33202766	5	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_38304026_40495126	2	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr13_38304026_40495126	1	RA_OKADA_TRANS_ETHNIC	smultixcan_eqtl	RA	Immune	#40A0A0
region_chr13_40495126_42526891	3	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr13_46856944_48809826	2	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_48809826_51016955	1	Astle_et_al_2016_Granulocyte_count	smultixcan_eqtl	GC	Blood	#C00000
region_chr13_48809826_51016955	2	Astle_et_al_2016_Myeloid_white_cell_count	smultixcan_eqtl	MWBC	Blood	#C00000
region_chr13_48809826_51016955	1	Astle_et_al_2016_Sum_neutrophil_eosinophil_counts	smultixcan_eqtl	NEC	Blood	#C00000
region_chr13_52765487_54108729	1	UKB_1200_Sleeplessness_or_insomnia	smultixcan_eqtl	INSOMN_UKB	Psychiatric-neurologic	#0000A0
region_chr13_56980083_57836492	1	SSGAC_Education_Years_Pooled	smultixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr13_56980083_57836492	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr13_80011541_82007679	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr13_92934202_95435304	1	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr13_98286665_99921841	5	UKB_20002_1111_self_reported_asthma	smultixcan_eqtl	ATH_UKBS	Allergy	#FFFF00
region_chr13_98286665_99921841	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_101067970_102545765	10	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr14_101067970_102545765	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr14_102545765_104535386	3	Astle_et_al_2016_High_light_scatter_reticulocyte_count	smultixcan_eqtl	HRET	Blood	#C00000
region_chr14_102545765_104535386	11	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr14_102545765_104535386	8	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr14_102545765_104535386	5	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr14_102545765_104535386	14	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
region_chr14_102545765_104535386	3	UKB_23099_Body_fat_percentage	smultixcan_eqtl	FAT_UKB	Anthropometric	#404040
region_chr14_102545765_104535386	9	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_102545765_104535386	2	UKB_6152_9_diagnosed_by_doctor_Hayfever_allergic_rhinitis_or_eczema	smultixcan_eqtl	HAY_UKB	Immune	#40A0A0
region_chr14_104535386_105874495	2	Astle_et_al_2016_Platelet_count	smultixcan_eqtl	PLT	Blood	#C00000
region_chr14_104535386_105874495	4	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_21121243_22549721	1	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr14_21121243_22549721	4	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_22549721_24435917	3	Astle_et_al_2016_Monocyte_count	smultixcan_eqtl	MC	Blood	#C00000
region_chr14_22549721_24435917	3	SSGAC_Education_Years_Pooled	smultixcan_eqtl	EDU	Psychiatric-neurologic	#0000A0
region_chr14_22549721_24435917	23	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_24435917_25666480	1	Astle_et_al_2016_Neutrophil_count	smultixcan_eqtl	NC	Blood	#C00000
region_chr14_24435917_25666480	1	Astle_et_al_2016_Sum_basophil_neutrophil_counts	smultixcan_eqtl	BNC	Blood	#C00000
region_chr14_34377045_35390387	1	Astle_et_al_2016_Reticulocyte_count	smultixcan_eqtl	RET	Blood	#C00000
region_chr14_34377045_35390387	2	GIANT_HEIGHT	smultixcan_eqtl	HEIGHT	Anthropometric	#404040
region_chr14_34377045_35390387	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_35390387_38198520	1	UKB_50_Standing_height	smultixcan_eqtl	HEIGHT_UKB	Anthropometric	#404040
region_chr14_46279927_48104383	1	UKB_21001_Body_mass_index_BMI	smultixcan_eqtl	BMI_UKB	Anthropometric	#404040
